"ISO3","Year","City","Longitude","Latitude","PM25","urban"
1,2019,"Moncton",-64.78966,46.10158,4.0,0
1,2019,"Halifax",-63.57366,44.64711,5.0,0
1,2019,"Lawrencetown",-63.48075,44.7198,5.0,1
1,2019,"Charlottetown",-63.13667,46.233,8.0,0
1,2019,"Trenton",-62.69664,45.68167,5.0,0
1,2019,"Saint Peters Bay",-62.58272,46.38635,4.0,0
1,2019,"Port Hawkesbury",-61.36236,45.61416,5.0,1
1,2019,"Sydney",-60.17252,46.14222,5.0,0
1,2019,"Corner Brook",-57.92207,48.95224,6.0,1
1,2019,"Grand Falls-Windsor",-55.65966,48.92696,3.0,1
1,2019,"Burin",-55.19852,47.09899,4.0,0
1,2019,"St. John's",-52.79476,47.50513,5.0,0
1,2019,"St. John's",-52.71147,47.56038,5.0,0
1,2019,"Gibsons",-123.4792,49.43885,3.0,0
1,2019,"Nanaimo",-123.849,49.11301,8.0,0
1,2019,"Duncan",-123.7173,48.78611,8.0,0
1,2019,"Duncan",-123.6464,48.80255,7.0,0
1,2019,"Squamish",-123.1513,49.70516,5.0,0
1,2019,"Vancouver",-123.0778,49.26027,7.0,0
1,2019,"New Westminster",-122.8945,49.22704,6.0,0
1,2019,"Victoria",-123.3632,48.44194,7.0,0
1,2019,"Abbotsford",-122.3265,49.02155,6.0,1
1,2017,"Valemount",-119.2698,52.83246,17.0,0
1,2019,"West Vancouver",-123.2767,49.36861,4.0,0
1,2019,"Airdrie",-114.0378,51.26808,6.0,1
1,2019,"Calgary",-114.0091,51.0309,8.0,1
1,2019,"St. Albert",-113.6119,53.62691,7.0,0
1,2019,"Edmonton",-113.5261,53.5001,8.0,0
1,2019,"Gibbons",-113.3272,53.82724,9.0,0
1,2019,"Sherwood Park",-113.321,53.53209,7.0,0
1,2019,"Ardrossan",-113.1449,53.55469,6.0,0
1,2019,"Redwater",-113.1059,53.95183,8.0,0
1,2016,"Fort Saskatchewan",-113.0992,53.84369,5.0,1
1,2019,"Lavoy",-112.9259,53.80563,8.0,1
1,2019,"Fort Mackay",-111.593,56.99647,6.0,1
1,2019,"Conklin",-111.1727,55.62141,5.0,0
1,2019,"Anzac",-111.0372,56.44928,5.0,0
1,2019,"Buffalo Narrows",-108.4033,55.83457,4.0,0
1,2019,"Swift Current",-107.8169,50.28583,6.0,0
1,2019,"Prince Albert",-105.752,53.20169,7.0,0
1,2019,"Estevan",-102.985,49.13235,4.0,0
1,2019,"Kitimat",-128.6714,54.05389,5.0,0
1,2019,"Sarnia",-82.41682,42.91255,7.0,0
1,2019,"Grand Bend",-81.74282,43.33319,5.0,0
1,2019,"Burlington",-79.80276,43.31457,7.0,0
1,2019,"Brampton",-79.76567,43.66957,7.0,0
1,2019,"Barrie",-79.70243,44.38231,7.0,0
1,2019,"Toronto",-79.54342,43.71111,9.0,0
1,2019,"Toronto",-79.46752,43.78042,7.0,0
1,2019,"Hampton",-78.9125,43.95222,6.0,0
1,2019,"Peterborough",-78.34639,44.30183,6.0,0
1,2019,"Mont-Saint-Michel",-75.43273,46.76866,5.0,0
1,2019,"Richmond",-123.1524,49.18626,5.0,0
1,2019,"Saint-Anicet",-74.2896,45.12062,6.0,0
1,2019,"Terrebonne",-73.65776,45.70476,8.0,0
1,2019,"Montreal",-73.58258,45.46461,9.0,0
1,2019,"Montreal",-73.56684,45.51219,7.0,0
1,2019,"Brossard",-73.48082,45.44866,7.0,0
1,2019,"Trois-Rivières",-72.54619,46.35717,7.0,0
1,2019,"Levis",-71.16751,46.80603,6.0,0
1,2019,"Notre-Dame-du-Rosaire",-70.45418,46.84889,5.0,0
1,2019,"Edmundston",-68.3223,47.36319,9.0,0
1,2019,"Richmond",-123.1082,49.14144,6.0,0
1,2019,"Labrador City",-66.91031,52.94549,2.0,0
1,2019,"Beaver Dam",-66.64524,45.95729,5.0,0
1,2019,"Kentville",-64.47743,45.06725,5.0,1
1,2019,"North Vancouver",-123.0835,49.32399,4.0,0
1,2019,"Delta",-123.082,49.00988,4.0,0
1,2019,"North Vancouver",-123.0204,49.30147,7.0,1
1,2019,"Burnaby",-122.9857,49.21519,5.0,0
1,2019,"Burnaby",-122.9707,49.27921,5.0,0
1,2019,"Whistler",-122.9604,50.14429,5.0,1
1,2019,"Delta",-122.9017,49.15835,6.0,0
1,2019,"Belcarra",-122.8493,49.28089,5.0,1
1,2019,"Pitt Meadows",-122.7089,49.24523,5.0,1
1,2019,"Surrey",-122.6942,49.13293,6.0,0
1,2019,"Langley Township",-122.5671,49.09561,6.0,0
1,2019,"BATNUNI LAKE",-122.4932,52.98169,9.0,0
1,2019,"Mission",-122.3111,49.14149,6.0,0
1,2019,"Abbotsford",-122.3098,49.04258,5.0,0
1,2019,"Williams Lake",-122.1504,52.14428,7.0,0
1,2019,"Chilliwack",-121.9403,49.15585,6.0,0
1,2019,"Agassiz",-121.7623,49.23801,5.0,0
1,2019,"Hope",-121.4991,49.36989,5.0,1
1,2019,"Terrace",-128.6075,54.52167,6.0,0
1,2019,"Kamloops",-120.334,50.67477,7.0,0
1,2018,"Kelowna",-119.4774,49.86234,12.0,0
1,2019,"Calais",-119.3968,55.19634,6.0,1
1,2019,"Vernon",-119.2707,50.26062,8.0,0
1,2019,"Grande Prairie",-118.8078,55.1766,7.0,0
1,2019,"Calais",-118.7647,55.1172,5.0,0
1,2019,"Grand Forks",-118.4391,49.03117,9.0,0
1,2019,"Calais",-118.2809,55.40266,7.0,0
1,2019,"Castlegar",-117.6615,49.3177,7.0,0
1,2019,"Hinton",-117.5441,53.4273,8.0,1
1,2019,"Robb",-117.0911,53.1325,2.0,0
1,2019,"Golden",-116.9669,51.2975,9.0,0
1,2019,"Edson",-116.3958,53.59377,2.0,1
1,2019,"Drayton Valley",-114.9842,53.22002,7.0,0
1,2019,"Tomahawk",-114.7683,53.37255,5.0,0
1,2019,"James River Bridge",-114.6974,51.94687,5.0,0
1,2019,"Alberta Beach",-114.4199,53.633,6.0,0
1,2018,"Smithers",-127.1773,54.78331,9.0,0
1,2019,"Yellowknife",-114.364,62.45207,4.0,0
1,2019,"Sunnybrook",-114.2211,53.3016,6.0,0
1,2017,"Calgary",-114.1418,51.07922,7.0,0
1,2019,"Calgary",-113.9697,50.95512,7.0,1
1,2019,"Red Deer",-113.7935,52.29867,7.0,0
1,2019,"Red Deer",-113.7654,52.24095,7.0,0
1,2019,"Edmonton",-113.5626,53.56441,8.0,1
1,2019,"Colville Lake",-126.8131,65.27926,5.0,0
1,2019,"Edmonton",-113.4988,53.54445,7.0,0
1,2019,"Edmonton",-113.4646,53.486,9.0,1
1,2019,"Sherwood Park",-113.3681,53.54823,9.0,1
1,2019,"Fort Saskatchewan",-113.2228,53.69874,9.0,0
1,2019,"Lavoy",-112.8802,53.76036,7.0,0
1,2019,"Lavoy",-112.8681,53.68238,6.0,0
1,2019,"Lethbridge",-112.8006,49.71621,5.0,1
1,2019,"Colville Lake",-111.8932,60.00455,7.0,0
3,2018,"Saltillo",-101.0,25.4167,21.0,0
3,2018,"Celaya",-100.8397,20.5375,21.0,0
3,2018,"San Miguel de Allende",-100.7438,20.91476,12.0,0
3,2018,"San Luis de la Paz",-100.5233,21.29586,11.0,0
3,2018,"El Pueblito",-100.4456,20.55611,12.0,0
3,2018,"Santiago de Querétaro",-100.3947,20.58722,14.0,0
3,2018,"Santiago de Querétaro",-100.3833,20.6,13.0,0
3,2018,"Monterrey",-100.3167,25.6667,23.0,0
3,2018,"San Nicolás de los Garza",-100.3097,25.73,23.0,0
3,2018,"Toluca",-99.6573,19.2839,31.0,0
3,2018,"Toluca",-99.65642,19.27808,26.0,0
3,2018,"Toluca",-99.63429,19.32722,38.0,0
3,2018,"Metepec",-99.59519,19.27019,30.0,0
3,2018,"Tula",-99.34006,20.05378,18.0,0
3,2017,"Mexico City",-99.26287,19.35736,19.79956,0
3,2018,"Cuernavaca",-99.25,18.9167,19.0,0
3,2018,"Cuernavaca",-99.2349,18.92182,19.0,0
3,2018,"Atitalaquia",-99.22194,20.06,19.0,0
3,2018,"Atotonilco de Tula",-99.21889,20.00667,32.0,0
3,2018,"Mexico City",-99.1419,19.4273,22.0,0
3,2018,"Tizayuca",-98.98133,19.84058,18.0,0
3,2018,"Pachuca",-98.73675,20.12336,14.0,0
3,2018,"Puebla",-98.22453,19.06272,21.0,0
3,2018,"Puebla",-98.21422,19.04139,19.0,0
3,2018,"Puebla",-98.15172,19.07189,16.0,0
3,2018,"Poza Rica",-97.44699,20.50897,13.0,0
3,2018,"Xalapa",-96.88188,19.53009,18.0,0
3,2018,"Oaxaca",-96.7167,17.05,22.0,0
3,2018,"Minatitlán",-94.55534,18.00568,17.0,0
3,2018,"Villahermosa",-92.9167,17.9833,13.0,0
3,2018,"Mérida",-89.6167,20.9667,15.0,0
3,2017,"La Marquesa",-99.38052,19.29197,14.40578,0
3,2018,"Mexico City",-99.20766,19.2721,19.0,0
3,2018,"Tlalnepantla de Baz",-99.2046,19.52908,24.0,0
3,2018,"Mexico City",-99.20414,19.32515,19.0,0
3,2018,"Mexico City",-99.2026,19.40405,23.0,0
3,2018,"Mexico City",-99.1761,19.3262,21.0,0
3,2017,"Mexico City",-99.16979,19.4684,25.7516,0
3,2017,"Ciudad de México",-99.16246,19.15467,21.33125,0
3,2018,"Mexico City",-99.15897,19.37161,23.0,0
3,2018,"Mexico City",-99.15221,19.41162,22.0,0
3,2018,"Mexico City",-99.11959,19.42461,23.0,0
3,2018,"Mexico City",-99.10363,19.30444,23.0,0
3,2018,"Mexico City",-99.09452,19.4827,25.0,0
3,2018,"Ecatepec de Morelos",-99.0824,19.526,28.0,0
3,2018,"Mexico City",-99.07388,19.36079,20.0,0
3,2018,"Ecatepec de Morelos",-99.03032,19.53297,20.0,0
3,2018,"Ciudad Nezahualcóyotl",-99.02821,19.39373,24.0,0
3,2017,"Santa Ana Tlacotenco",-98.99019,19.1769,19.69361,0
3,2018,"Tijuana",-116.9769,32.4975,21.0,0
3,2018,"Tijuana",-116.9213,32.52946,20.0,0
3,2018,"Mexicali",-115.5064,32.63972,27.0,0
3,2017,"Mexicali",-115.505,32.63367,24.92071,1
3,2017,"Mexicali",-115.4478,32.62922,19.57492,1
3,2018,"Mexicali",-115.4447,32.64778,24.0,0
3,2018,"Tepic",-104.9102,21.50981,15.0,0
3,2018,"Torreón",-103.4333,25.55,30.0,0
3,2018,"La Unión del Cuatro",-103.3772,20.52915,25.0,0
3,2018,"Guadalajara",-103.3333,20.6667,25.0,0
3,2018,"Aguascalientes",-102.2958,21.88378,17.0,0
3,2018,"Aguascalientes",-102.2884,21.84639,33.0,0
3,2018,"León",-101.68,21.13333,20.0,0
3,2018,"León",-101.6361,21.10306,20.0,0
3,2018,"Guanajuato",-101.2574,21.01758,11.0,0
3,2018,"Salamanca",-101.2047,20.55806,22.0,0
3,2018,"Valle de Santiago",-101.1981,20.42528,15.0,0
2,2017,"Louisville",-85.81566,38.23319,8.743749,0
2,2019,"Ashland",-85.80361,33.28493,7.550467,0
2,2019,"Louisville",-85.7119,38.1936,9.930663,1
2,2017,"Grand Rapids",-85.67912,42.95612,9.145833,1
2,2019,"Grand Rapids",-85.67134,42.98417,7.665917,1
2,2019,"Charlestown",-85.66412,38.39382,7.312778,0
2,2019,"Louisville",-85.65452,38.22876,8.836488,0
2,2018,"Mountlake Terrace",-122.3167,47.8064,5.957669,0
2,2019,"Anderson",-85.65218,40.1257,8.433518,0
2,2019,"Larwill",-85.62929,41.16965,8.154616,0
2,2019,"Kalamazoo",-85.54189,42.27807,7.063646,1
2,2019,"Cookeville",-85.49211,36.1857,6.259444,0
2,2019,"Rehobeth",-85.39079,31.22478,8.115652,1
2,2019,"Muncie",-85.38791,40.1995,8.335,0
2,2019,"Chattanooga",-85.29302,35.05092,8.001847,1
2,2019,"Chattanooga",-85.24293,34.99438,7.984298,1
2,2016,"Braswell",-85.04534,33.9285,7.318103,0
2,2019,"Merritt",-84.89186,44.31056,5.787156,0
2,2017,"Cleves",-84.69086,39.21487,8.197691,0
2,2019,"Stab",-84.61152,37.09798,7.020661,0
2,2019,"Athens",-84.59619,35.45011,7.378431,1
2,2019,"Fairfield",-84.5666,39.33839,8.7197,1
2,2019,"Cincinnati",-84.55117,39.10492,8.752244,1
2,2019,"Harriman",-84.5428,35.93908,7.055899,0
2,2017,"Lansing",-84.53463,42.73862,7.210924,1
2,2019,"Cincinnati",-84.50404,39.12886,8.682603,1
2,2019,"Lexington",-84.49761,38.06503,7.871449,0
2,2019,"Cincinnati",-84.47897,39.19433,9.174473,0
2,2019,"COLD SPRGS HI",-84.47445,39.02188,7.695393,0
2,2019,"Middletown",-84.39711,39.47869,10.79341,0
2,2019,"Middletown",-84.39495,39.47244,11.95583,0
2,2019,"Cincinnati",-84.36625,39.2787,9.011233,0
2,2019,"Middletown",-84.36374,39.49072,9.260295,0
2,2019,"Tallahassee",-84.34639,30.43972,7.672917,0
2,2016,"Loudon",-84.31706,35.74454,9.804237,0
2,2017,"Richmond",-84.28495,37.73846,7.443363,1
2,2019,"Dayton",-84.19867,39.75597,8.882665,1
2,2019,"Lima",-84.0539,40.77094,7.748933,0
2,2019,"Knoxville",-84.03598,35.9446,7.337854,0
2,2019,"Knoxville",-83.95067,35.97807,8.175424,1
2,2019,"Tecumseh",-83.94656,41.99557,8.439944,0
2,2019,"Maryville",-83.94215,35.76885,6.564543,0
2,2019,"Knoxville",-83.92577,35.98067,7.488136,1
2,2019,"Bay City",-83.89072,43.57139,6.785,1
2,2018,"Yellow Springs",-83.88705,39.80834,7.670103,0
2,2019,"Knoxville",-83.87381,36.01919,7.343333,0
2,2019,"Springfield",-83.80949,39.92882,8.864304,1
2,2019,"Middlesboro",-83.73694,36.60843,7.313115,0
2,2019,"Flint",-83.67016,43.04722,7.054602,1
2,2019,"Toledo",-83.64226,41.62057,7.72973,0
2,2019,"Ypsilanti",-83.5996,42.24056,7.779981,1
2,2019,"Toledo",-83.54616,41.64407,8.136667,1
2,2016,"Toledo",-83.47833,41.66257,8.184348,1
2,2019,"Bryson City",-83.44213,35.43477,7.159337,0
2,2018,"Livonia",-83.42626,42.42306,7.587619,0
2,2018,"Livonia",-83.42504,42.4215,9.094262,1
2,2017,"Monroe",-83.34573,41.92358,7.685345,1
2,2016,"Gordon",-83.33378,32.88183,9.494872,0
2,2019,"Whittier",-83.27793,35.46677,6.461121,0
2,2019,"Mountain Rest",-83.2377,34.80526,6.293174,0
2,2019,"Hazard",-83.20932,37.28329,7.239851,0
2,2019,"Allen Park",-83.2082,42.22862,8.455983,0
2,2019,"Oak Park",-83.1832,42.46306,7.757759,0
2,2018,"Riverview",-83.1539,42.18729,8.043966,0
2,2019,"Dearborn",-83.14875,42.30667,9.578747,0
2,2019,"Detroit",-83.10653,42.30279,11.67032,1
2,2018,"Detroit",-83.09603,42.35781,8.878151,1
2,2016,"Detroit",-83.06847,42.32334,8.403858,1
2,2019,"Detroit",-83.00014,42.43084,7.60087,0
2,2018,"Columbus",-82.99344,39.99875,8.27,1
2,2019,"Fultz",-82.9881,38.23887,5.683471,0
2,2018,"Columbus",-82.9801,39.92853,8.607317,1
2,2019,"Columbus",-82.95977,40.0877,8.777119,0
2,2019,"Lenox",-82.79346,42.73139,7.3,0
2,2018,"Clearwater",-82.78215,27.98628,6.826957,0
2,2016,"Crystal River",-82.64438,28.98056,5.61962,0
2,2019,"Summit",-82.64041,38.45934,7.755587,0
2,2019,"Pikeville",-82.53532,37.4826,6.590333,1
2,2019,"Kingsport",-82.5216,36.53876,7.059664,0
2,2019,"Sarasota",-82.50722,27.29056,6.827198,1
2,2019,"Port Huron",-82.45623,42.95334,7.623077,0
2,2018,"Huntington",-82.4259,38.42413,8.125184,0
2,2018,"Gainesville",-82.38778,29.70611,5.849174,0
2,2019,"Simpsonville",-82.2567,34.75185,7.251984,0
2,2019,"Dover",-82.2304,27.96565,7.159322,0
2,2019,"Bristol",-82.1641,36.608,6.487179,0
2,2019,"Lorain",-82.11426,41.46307,7.111291,0
2,2019,"Spruce Pine",-82.06208,35.91249,5.53964,0
2,2019,"Lakeland",-81.97222,28.02889,7.741193,0
2,2019,"Spartanburg",-81.9248,34.95557,7.48486,1
2,2019,"Medina",-81.9239,41.0604,7.790603,0
2,2019,"Chesterhill",-81.90883,39.44217,6.396763,0
2,2019,"Fort Myers",-81.87791,26.60202,7.38,0
2,2019,"Brook Park",-81.81867,41.39629,7.389167,0
2,2019,"South Charleston",-81.69372,38.36618,7.336975,0
2,2019,"Cleveland",-81.68238,41.47701,9.127492,1
2,2019,"Cleveland",-81.67845,41.49212,9.431606,1
2,2019,"Cleveland",-81.65679,41.47178,9.22314,1
2,2016,"Jacksonville",-81.6354,30.35634,7.872424,0
